problemName,numCustomers,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,matchType,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170606T123411109972,25,0.097816,5556.915244,43.844627,727.552494,13,12,21.654602,5118.123779,1409.999999,3329.588116,16,9,problemName_numCustomers,-21.556786,21.556786,99.54829001244168,438.79146500000024,-438.79146500000024,-8.573287476953775,-1366.155372,1366.155372,96.89045198361025,-2602.035622,2602.035622,78.14887401526273,-3,3,3,-3,our,their,our,our,their,their
20170606T123426160449,25,0.090015,6038.882245,742.837709,870.701607,15,10,1.714159,4993.968991,1529.999999,8307.586119,17,8,problemName_numCustomers,-1.624144,1.624144,94.74873684413173,1044.913254,-1044.913254,-20.923503047037645,-787.1622899999999,787.1622899999999,51.44851571990099,-7436.884512,7436.884512,89.51919854302024,-2,2,2,-2,our,their,our,our,their,their
20170606T181516057642,25,0.10911,8393.776072,464.716714,1692.09509,16,9,0.834114,6811.917907,1529.999999,5599.32159,18,7,problemName_numCustomers,-0.725004,0.725004,86.91905422999734,1581.8581650000006,-1581.8581650000006,-23.221920560352995,-1065.283285,1065.283285,69.62635854223946,-3907.2264999999998,3907.2264999999998,69.78035530193578,-2,2,2,-2,our,their,our,our,their,their
20170606T181644949435,25,0.125719,8864.47133,56.786579,2327.300797,14,11,1.73606,7463.637583,1440.0,6062.893375,16,9,problemName_numCustomers,-1.610341,1.610341,92.75837240648364,1400.8337470000006,-1400.8337470000006,-18.768780389212537,-1383.213421,1383.213421,96.05648756944444,-3735.592578,3735.592578,61.61402398075325,-2,2,2,-2,our,their,our,our,their,their
20170606T183158840946,25,0.090701,5738.480964,181.968503,2848.359014,17,8,1.273134,5110.563401,1439.999999,4782.701747,16,9,problemName_numCustomers,-1.182433,1.182433,92.8757695576428,627.917563,-627.917563,-12.286660270707792,-1258.0314959999998,1258.0314959999998,87.36329839400229,-1934.342733,1934.342733,40.44456115653327,1,-1,-1,1,our,their,our,our,our,our
20170607T111048231225,25,0.10268,8371.922328,633.070898,825.413678,12,13,1.063911,6861.840483,1349.999999,5000.520149,15,10,problemName_numCustomers,-0.9612310000000001,0.9612310000000001,90.34881677132768,1510.0818450000006,-1510.0818450000006,-22.006950594977866,-716.9291009999998,716.9291009999998,53.10585937267099,-4175.106471,4175.106471,83.49344361375955,-3,3,3,-3,our,their,our,our,their,their
20170606T114000833192,50,2.520946,13037.160587,377.798689,2794.366409,26,24,31.401495,11849.43558,2616.904323,7070.296726,26,24,problemName_numCustomers,-28.880549000000002,28.880549000000002,91.9718917841332,1187.725007000001,-1187.725007000001,-10.023473261500284,-2239.105634,2239.105634,85.56314475544545,-4275.930316999999,4275.930316999999,60.47738139866012,0,0,0,0,our,their,our,our,tie,tie
20170606T114145593946,50,2.577352,12957.707476,292.16234,1244.087578,23,27,39.042208,10371.25154,2699.999999,8789.451871,31,19,problemName_numCustomers,-36.464856000000005,36.464856000000005,93.3985495902281,2586.4559360000003,-2586.4559360000003,-24.93870605707053,-2407.8376590000003,2407.8376590000003,89.17917258858489,-7545.364293,7545.364293,85.84567506302919,-8,8,8,-8,our,their,our,our,their,their
20170606T114330252507,50,2.805046,13049.543602,1071.134852,1987.949158,27,23,26.654853,10101.74895,3029.999999,10279.6606,35,15,problemName_numCustomers,-23.849807,23.849807,89.47641542048646,2947.7946520000005,-2947.7946520000005,-29.18103257753204,-1958.8651470000002,1958.8651470000002,64.64901477381156,-8291.711442,8291.711442,80.66133469426025,-8,8,8,-8,our,their,our,our,their,their
20170606T114511221132,50,2.297588,11879.9971,408.329214,2702.091136,32,18,52.396405,9772.374379,2946.712663,9511.321146,32,18,problemName_numCustomers,-50.098817000000004,50.098817000000004,95.61498923447134,2107.6227209999997,-2107.6227209999997,-21.56715081985706,-2538.383449,2538.383449,86.14289003718854,-6809.23001,6809.23001,71.59079065334295,0,0,0,0,our,their,our,our,tie,tie
